S.no,Youtube_channel,Youtuber_name,Category,Subscribers,Country,Average_view,Average_likes,Average_comments,Sub-category,Date
251,Vevo,VEVO,Music & Dance,20100000.0,United States,11500.0,415.0,5.0,Other,9/15/2022
252,HaerteTest,HaerteTest,Other,20000000.0,India,23400.0,151.0,32.0,Other,9/19/2022
253,LankyBox,LankyBox,Video games,20000000.0,United States,438000.0,6600.0,360.0,Other,9/22/2022
254,Lyrical Lemonade,GooodLifeFilms,Other,19900000.0,United States,2900000.0,60200.0,2900.0,Other,9/5/2022
255,Tlnovelas,TelenovelaTelevisa,Other,19900000.0,Mexico,11800.0,282.0,8.0,Other,9/14/2022
256,Mnet K-POP,Mnet,Music & Dance,19900000.0,United States,9500.0,900.0,33.0,Animation,9/28/2022
257,Pencilmation,rossbollinger,Animation,19900000.0,United States,172900.0,2500.0,76.0,Humor,9/8/2022
261,Pentatonix,PTXofficial,Music & Dance,19700000.0,United States,120300.0,5700.0,103.0,Other,9/12/2022
262,Dr. Vivek Bindra: Motivational Speaker,MrVivekBindra,Education,19700000.0,India,172900.0,9400.0,608.0,Other,9/26/2022
263,Romeo Santos,romeo,Music & Dance,19700000.0,United States,837100.0,38100.0,1600.0,Other,9/24/2022
264,Marvel Entertainment,MARVEL,Movies,19700000.0,United States,299400.0,12100.0,786.0,Animation,9/6/2022
265,Noor Stars,Noor Stars,Movies,19600000.0,Iraq,1300000.0,131100.0,6500.0,Humor,9/7/2022
266,Got Talent Global,gottalentglobal,Other,19500000.0,United States,127000.0,1400.0,57.0,Other,9/10/2022
268,Gordon Ramsay,gordonramsay,Food & Drinks,19500000.0,United States,153800.0,3900.0,320.0,Health & Self Help,9/26/2022
269,Deddy Corbuzier,corbuzierprediction,Other,19500000.0,Indonesia,4200000.0,70700.0,8100.0,Other,9/25/2022
271,Troom Troom Es,Troom Troom Es,Other,19300000.0,Mexico,125700.0,2500.0,72.0,Other,9/11/2022
272,Infinite,Infinite,Video games,19300000.0,United States,776700.0,25300.0,2400.0,Humor,9/2/2022
274,Robin Hood Gamer,RobinHoodGamer1,Animation,19300000.0,Brazil,1000000.0,51400.0,784.0,Video games,9/11/2022
275,Kurzgesagt – In a Nutshell,Kurzgesagt,Education,19300000.0,United States,7000000.0,329700.0,24700.0,Other,9/5/2022
276,Fatos Desconhecidos,fatosdesconhecidos,Science & Technology,19200000.0,Brazil,194500.0,19000.0,683.0,Other,9/27/2022
277,Beast Reacts,Beast Reacts,Other,19100000.0,United States,12700000.0,389700.0,7100.0,Other,9/17/2022
278,Sun TV,Sun TV,Other,19100000.0,India,89400.0,1600.0,19.0,Other,9/23/2022
279,Crafty Panda,Crafty Panda,Music & Dance,19100000.0,India,81300.0,571.0,15.0,Other,9/12/2022
280,NBA,NBA,Sports,19100000.0,United States,58300.0,1700.0,119.0,Other,9/5/2022
281,DLS News,DLS News,News & Politics,19000000.0,India,61500.0,1700.0,104.0,Other,9/10/2022
282,Clash of Clans,OfficialClashOfClans,Movies,18900000.0,United States,299400.0,14000.0,394.0,Animation,9/25/2022
283,invictor,invictorgs3,Animation,18900000.0,Mexico,1300000.0,70200.0,982.0,Video games,9/27/2022
284,Netflix India,Netflix India,Other,18900000.0,India,131000.0,2800.0,105.0,Other,9/3/2022
285,Jimmy Kimmel Live,JimmyKimmelLive,Movies,18900000.0,United States,133100.0,3400.0,257.0,Other,9/28/2022
286,The ACE Family,The ACE Family,Humor,18900000.0,United States,702100.0,26000.0,2500.0,Other,9/25/2022
